Location_ID,County,City,State,Postal Code,Longitude,Latitude
L000198,Grant,Hartline,WA,99135,-119.108221,47.686919
L000199,Benton,Kennewick,WA,99336,-119.113535,46.204945
L000200,Franklin,Mesa,WA,99343,-119.134748,46.589130
L000201,Ventura,Port Hueneme,CA,93041,-119.192955,34.150750
L000202,Grant,Othello,WA,99344,-119.198858,46.817128
L000203,Okanogan,Tonasket,WA,98855,-119.239796,48.667754
L000204,Grant,Moses Lake,WA,98837,-119.259988,47.124015
L000205,Benton,Kennewick,WA,99338,-119.260882,46.194303
L000206,Grant,Stratford,WA,98853,-119.283378,47.425808
L000207,Ventura,Ventura,CA,93001,-119.289265,34.280165
L000208,Benton,Richland,WA,99354,-119.290596,46.304184
L000209,Benton,Richland,WA,99352,-119.295207,46.272495
L000210,Okanogan,Oroville,WA,98844,-119.328241,48.933588
L000211,Grant,Coulee City,WA,99115,-119.359579,47.610329
L000212,Benton,Plymouth,WA,99346,-119.359986,45.933631
L000213,Benton,West Richland,WA,99353,-119.362743,46.295037
L000214,Benton,Benton City,WA,99320,-119.473761,46.267201
L000215,Grant,Soap Lake,WA,98851,-119.485115,47.386860
L000216,Okanogan,Riverside,WA,98849,-119.503797,48.499760
L000217,Okanogan,Omak,WA,98841,-119.529965,48.411470
L000218,Grant,Ephrata,WA,98823,-119.555130,47.319360
L000219,Okanogan,Okanogan,WA,98840,-119.587570,48.364823
L000220,Benton,Paterson,WA,99345,-119.603094,45.939673
L000221,Douglas,Mansfield,WA,98830,-119.633049,47.813639
L000222,Grant,Royal City,WA,99357,-119.636921,46.901997
L000223,Douglas,Bridgeport,WA,98813,-119.673399,48.007189
L000224,Washoe,Reno,NV,89521,-119.728025,39.415483
L000225,Benton,Prosser,WA,99350,-119.769315,46.204995
L000226,Okanogan,Brewster,WA,98812,-119.770026,48.108900
L000227,Kings,Lemoore,CA,93245,-119.783735,36.303825
L000228,Grant,Quincy,WA,98848,-119.849387,47.233993
L000229,Grant,Mattawa,WA,99349,-119.901675,46.737800
L000230,Yakima,Grandview,WA,98930,-119.915560,46.249215
L000231,Douglas,Palisades,WA,98845,-119.926735,47.401425
