Location_ID,County,City,State,Postal Code,Vehicle Location,Longitude,Latitude
L000514,Clark,Vancouver,WA,98683,POINT (-122.515805 45.604689),-122.515805,45.604689
L000515,Clark,Vancouver,WA,98684,POINT (-122.51692 45.6228),-122.51692,45.6228
L000516,Kitsap,Kingston,WA,98346,POINT (-122.5178351 47.7981436),-122.5178351,47.7981436
L000517,Pierce,Lakewood,WA,98499,POINT (-122.5181098 47.1712579),-122.5181098,47.1712579
L000518,Pierce,Roy,WA,98580,POINT (-122.522985 46.9876),-122.522985,46.9876
L000519,Kitsap,Indianola,WA,98342,POINT (-122.523855 47.75235),-122.523855,47.75235
L000520,Marin,San Rafael,CA,94901,POINT (-122.5260879 37.9702346),-122.5260879,37.9702346
L000521,Lewis,Cinebar,WA,98533,POINT (-122.5278704 46.5863832),-122.5278704,46.5863832
L000522,Clark,Vancouver,WA,98682,POINT (-122.5286031 45.6686601),-122.5286031,45.6686601
L000523,Pierce,Lakewood,WA,98439,POINT (-122.529685 47.127165),-122.529685,47.127165
L000524,Kitsap,Bainbridge Island,WA,98110,POINT (-122.5305071 47.6400595),-122.5305071,47.6400595
L000525,Clark,Battle Ground,WA,98604,POINT (-122.53218 45.77945),-122.53218,45.77945
L000526,Pierce,Tacoma,WA,98465,POINT (-122.535405 47.24991),-122.535405,47.24991
L000527,Pierce,Fircrest,WA,98466,POINT (-122.537565 47.231645),-122.537565,47.231645
L000528,Pierce,University Place,WA,98467,POINT (-122.5404512 47.2074166),-122.5404512,47.2074166
L000529,Island,Freeland,WA,98249,POINT (-122.545737 48.018194),-122.545737,48.018194
L000530,Pierce,Lakewood,WA,98498,POINT (-122.547645 47.176685),-122.547645,47.176685
L000531,Kitsap,Suquamish,WA,98392,POINT (-122.55717 47.733415),-122.55717,47.733415
L000532,Kitsap,Hansville,WA,98340,POINT (-122.5638082 47.8995458),-122.5638082,47.8995458
L000533,Pierce,Tacoma,WA,98493,POINT (-122.564299 47.142313),-122.564299,47.142313
L000534,Island,Greenbank,WA,98253,POINT (-122.566915 48.089609),-122.566915,48.089609
L000535,Kitsap,Olalla,WA,98359,POINT (-122.5730403 47.4282964),-122.5730403,47.4282964
L000536,Clark,Vancouver,WA,98664,POINT (-122.575383 45.620105),-122.575383,45.620105
L000537,Clark,Vancouver,WA,98662,POINT (-122.579351 45.671668),-122.579351,45.671668
